ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z
VisCent_ExStr_1;LH_VisCent;1;LH_Vis;1;LH;-27.6992439100379;-55.6534139679105;-35.9051366547009
VisCent_ExStr_2;LH_VisCent;1;LH_Vis;1;LH;-26.2334474919802;-77.9360454910521;-29.8341635401171
VisCent_Striate_1;LH_VisCent;1;LH_Vis;1;LH;-4.03408801898132;-73.2002112432081;-22.4662684980962
VisCent_ExStr_3;LH_VisCent;1;LH_Vis;1;LH;-24.8872265976792;-76.0063850628686;-9.60477120616288
VisCent_ExStr_4;LH_VisCent;1;LH_Vis;1;LH;-41.6637591207640;-64.2097252108739;-5.49791003044875
VisCent_ExStr_5;LH_VisCent;1;LH_Vis;1;LH;-24.9389780972434;-67.8397383272316;3.97892848273430
VisPeri_ExStrInf_1;LH_VisPeri;3;LH_Vis;1;LH;-25.2874885611922;-34.4804076815515;-29.6311153279721
VisPeri_ExStrInf_2;LH_VisPeri;3;LH_Vis;1;LH;-10.8621204692070;-45.9328438662736;-24.5864095551773
VisPeri_ExStrInf_3;LH_VisPeri;3;LH_Vis;1;LH;-15.4577194321612;-29.0261551919573;-22.2326975818329
VisPeri_StriCal_1;LH_VisPeri;3;LH_Vis;1;LH;-13.0229749120559;-52.1544713980311;-12.7171670717016
VisPeri_ExStrSup_1;LH_VisPeri;3;LH_Vis;1;LH;-12.9178980892951;-54.3377930409552;2.63034505093934
VisPeri_ExStrSup_2;LH_VisPeri;3;LH_Vis;1;LH;-8.35270534155369;-67.9460229143230;10.0056290077466
SomMotA_1;LH_SomMotA;5;LH_SomMot;3;LH;-7.54355109537815;10.9198168842438;26.1842469812537
SomMotA_2;LH_SomMotA;5;LH_SomMot;3;LH;-48.6411686363187;-10.8179446201495;34.8697785214821
SomMotA_3;LH_SomMotA;5;LH_SomMot;3;LH;-39.8150442180080;-6.22192683098676;37.2903780685497
SomMotA_4;LH_SomMotA;5;LH_SomMot;3;LH;-33.2925164527691;-2.73793123396980;41.0149145880765
SomMotA_5;LH_SomMotA;5;LH_SomMot;3;LH;-25.4069618564037;-18.9472536768058;45.4635145393792
SomMotA_6;LH_SomMotA;5;LH_SomMot;3;LH;-23.3254345413685;8.30310435376170;46.7257018575875
SomMotA_7;LH_SomMotA;5;LH_SomMot;3;LH;-6.72159849516481;-10.2025417062572;44.8092704119833
SomMotA_8;LH_SomMotA;5;LH_SomMot;3;LH;-21.0641373852773;-11.6715250251393;46.2154198297972
