ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z;R;G;B;R7;G7;B7
VisCent_ExStr_1;VisCent;1;Vis;1;LH;-27.6992439100379;-55.6534139679105;-35.9051366547009;0.47059;0.070588;0.52549;74;0;129
VisCent_ExStr_2;VisCent;1;Vis;1;LH;-26.2334474919802;-77.9360454910521;-29.8341635401171;0.47059;0.070588;0.53333;75;20;129
VisCent_Striate_1;VisCent;1;Vis;1;LH;-4.03408801898132;-73.2002112432081;-22.4662684980962;0.47059;0.070588;0.53725;76;20;129
VisCent_ExStr_3;VisCent;1;Vis;1;LH;-24.8872265976792;-76.0063850628686;-9.60477120616288;0.47059;0.070588;0.54118;77;20;129
VisCent_ExStr_4;VisCent;1;Vis;1;LH;-41.6637591207640;-64.2097252108739;-5.49791003044875;0.47059;0.070588;0.5451;78;20;129
VisCent_ExStr_5;VisCent;1;Vis;1;LH;-24.9389780972434;-67.8397383272316;3.97892848273430;0.47059;0.070588;0.54902;79;20;129
VisPeri_ExStrInf_1;VisPeri;2;Vis;1;LH;-25.2874885611922;-34.4804076815515;-29.6311153279721;1;0.0039216;0.0039216;80;20;129
VisPeri_ExStrInf_2;VisPeri;2;Vis;1;LH;-10.8621204692070;-45.9328438662736;-24.5864095551773;1;0.0039216;0.0078431;81;20;129
VisPeri_ExStrInf_3;VisPeri;2;Vis;1;LH;-15.4577194321612;-29.0261551919573;-22.2326975818329;1;0.0039216;0.011765;82;20;129
VisPeri_StriCal_1;VisPeri;2;Vis;1;LH;-13.0229749120559;-52.1544713980311;-12.7171670717016;1;0.0039216;0.015686;83;20;129
VisPeri_ExStrSup_1;VisPeri;2;Vis;1;LH;-12.9178980892951;-54.3377930409552;2.63034505093934;1;0.0039216;0.019608;84;20;129
VisPeri_ExStrSup_2;VisPeri;2;Vis;1;LH;-8.35270534155369;-67.9460229143230;10.0056290077466;1;0.0039216;0.023529;85;20;129
SomMotA_1;SomMotA;3;SomMot;2;LH;-7.54355109537815;10.9198168842438;26.1842469812537;0.27451;0.5098;0.69804;70;130;174
SomMotA_2;SomMotA;3;SomMot;2;LH;-48.6411686363187;-10.8179446201495;34.8697785214821;0.27451;0.5098;0.70196;70;130;175
SomMotA_3;SomMotA;3;SomMot;2;LH;-39.8150442180080;-6.22192683098676;37.2903780685497;0.27451;0.5098;0.7098;70;130;176
SomMotA_4;SomMotA;3;SomMot;2;LH;-33.2925164527691;-2.73793123396980;41.0149145880765;0.27451;0.5098;0.71373;70;130;177
SomMotA_5;SomMotA;3;SomMot;2;LH;-25.4069618564037;-18.9472536768058;45.4635145393792;0.27451;0.5098;0.71765;70;130;178
SomMotA_6;SomMotA;3;SomMot;2;LH;-23.3254345413685;8.30310435376170;46.7257018575875;0.27451;0.5098;0.72157;70;130;179
SomMotA_7;SomMotA;3;SomMot;2;LH;-6.72159849516481;-10.2025417062572;44.8092704119833;0.27451;0.5098;0.72549;70;130;181
SomMotA_8;SomMotA;3;SomMot;2;LH;-21.0641373852773;-11.6715250251393;46.2154198297972;0.27451;0.5098;0.72941;70;130;182
SomMotB_Aud_1;SomMotB;4;SomMot;2;LH;-51.0623008781390;13.0845722300028;-21.1732371021813;0.16863;0.8;0.63529;70;130;183
SomMotB_Aud_2;SomMotB;4;SomMot;2;LH;-53.8067349767846;-7.59539348856306;-9.84520797112243;0.16863;0.8;0.63922;70;130;184
