,i,j,w
0,1,0,5.47113290429115
1,2,0,2.0840220451355
2,2,1,591.384496808052
3,3,0,19.3580713570118
4,3,1,646.462077111006
5,3,2,81.3926315307617
6,4,0,13.5822077393532
7,4,1,440.829717814922
8,4,2,1156.78632795811
9,4,3,496.501582890749
10,5,0,2.6384225487709
11,5,1,102.510616570711
12,5,2,13.6238104104996
13,5,3,3.96617698669434
14,5,4,448.144856631756
15,6,0,64.6631346642971
16,6,1,62.1050663292408
17,6,2,3.57548856735229
18,6,3,42.96689671278
19,6,4,588.589967906475
20,6,5,394.818105429411
21,7,0,18.3513449728489
22,7,1,615.122665375471
23,7,2,5.83424949645996
24,7,3,101.447731465101
25,7,4,31.0820009708405
26,7,5,27.4230948984623
27,7,6,23.6933533847332
28,8,0,4.35444641113281
29,8,1,252.484733641148
30,8,2,2.32690417766571
31,8,3,478.805443763733
32,8,6,1.57077014446259
33,8,7,890.82317969203
34,9,0,11.6153328418732
35,9,1,4.58940899372101
36,9,3,10.7673757076263
37,9,5,2.0217592716217
38,9,6,7.01901239156723
39,9,7,259.630673289299
40,9,8,242.683532476425
41,10,0,197.660363793373
42,10,1,314.92662781477
43,10,2,2.59448844194412
44,10,3,1009.88082332909
45,10,4,103.031547307968
46,10,5,3.19866287708282
47,10,6,268.30546978116
48,10,7,482.998464643955
49,10,8,1536.29342135787
50,10,9,534.721395671368
51,11,0,61.9570308923721
52,11,3,1.56041097640991
53,11,6,15.0734069943428
54,11,7,11.3772812485695
55,11,8,8.91020995378494
56,11,9,9.70220762491226
57,11,10,971.676529675722
58,12,0,144.807274401188
59,12,1,8.19414305686951
60,12,2,1.90751457214355
61,12,3,348.493139445782
62,12,4,150.403815746307
63,12,5,18.0098320543766
64,12,6,1028.15953037143
65,12,7,52.5139837563038
66,12,8,64.0657144784927
67,12,9,25.247381567955
68,12,10,2882.897865206
69,12,11,678.115820914507
70,13,0,14.8767310380936
71,14,0,12.0286636352539
72,14,4,0.657241761684418
73,14,6,1.52314883470535
74,14,12,0.359526842832565
75,15,0,9.26739573478699
76,15,4,3.14128339290619
77,15,7,0.824711680412292
78,15,8,0.794512808322906
79,15,10,0.611312389373779
80,15,12,0.568926095962524
81,15,14,768.244730889797
82,16,0,14.5236752033234
83,16,1,0.396953403949738
84,16,6,1.7885884642601
85,16,7,0.945409655570984
86,16,14,117.580315023661
87,16,15,743.823485255241
88,17,0,14.2853003740311
89,17,6,0.432669430971146
90,17,10,0.476704031229019
91,17,12,0.485310941934586
92,17,13,1.0126930475235
93,17,14,72.6223819851875
94,17,15,121.725979506969
95,17,16,21.1159354746342
96,18,0,9.62465065717697
97,18,2,0.658223688602448
98,18,3,2.18144559860229
99,18,10,1.93075478076935
100,18,13,1.09542706608772
101,18,14,16.4118982553482
102,18,15,70.0485987961292
103,18,16,888.374987065792
104,18,17,6.0033683180809
105,19,0,43.452429831028
106,19,3,1.52579379081726
107,19,4,0.955399870872498
108,19,7,0.904568493366241
109,19,10,4.04092046618462
110,19,11,0.642885386943817
111,19,12,1.60231471061707
112,19,13,410.230099141598
113,19,14,61.180296421051
114,19,15,44.6278305053711
115,19,16,400.711354076862
116,19,17,410.187735587358
117,19,18,446.335588514805
118,20,0,12.7663677334785
119,20,3,1.40706253051758
120,20,6,0.576694846153259
121,20,7,1.3883330821991
122,20,10,1.72617357969284
123,20,14,29.7404485940933
124,20,15,153.038463264704
125,20,16,225.592985510826
126,20,17,196.078676760197
127,20,18,52.4614617824554
128,20,19,753.744621574879
129,21,0,3.11655178666115
130,21,1,1.43854254484177
131,21,2,1.82967686653137
132,21,3,6.64255329966545
133,21,4,4.10885244607925
134,21,5,0.307893842458725
135,21,6,6.0086874961853
136,21,7,0.310688734054565
137,21,8,0.550659894943237
138,21,10,6.56286382675171
139,21,12,9.21401515603065
140,21,14,0.428588718175888
141,21,15,0.630302160978317
142,21,17,1.30628526210785
143,21,18,0.465911865234375
144,22,0,14.4941869974136
145,22,1,1.61866450309753
146,22,2,1.43818551301956
147,22,3,9.02365572750568
148,22,4,8.47076040506363
149,22,5,0.741234093904495
150,22,6,15.5403966009617
151,22,7,0.300171315670013
152,22,9,0.477968484163284
153,22,10,4.52746772766113
154,22,12,19.4223318696022
155,22,14,3.04709514975548
156,22,15,2.27236205339432
157,22,16,2.14495897293091
158,22,17,3.97712349891663
159,22,18,2.96571552753448
160,22,19,3.28046852350235
161,22,21,582.879776597023
162,23,0,2.23186963796616
163,23,6,0.493506520986557
164,23,12,0.612003147602081
165,23,15,2.67849135398865
166,23,16,4.18158340454102
167,23,17,3.57127577066422
168,23,18,2.66213458776474
169,23,19,2.3199976682663
170,23,21,239.333045899868
171,23,22,356.678008615971
172,24,0,6.31981730461121
173,24,4,0.444962322711945
174,24,13,0.380133390426636
175,24,14,14.0648782849312
176,24,15,0.95906013250351
177,24,16,3.64386111497879
178,24,17,2.35870233178139
179,24,18,49.539009898901
180,24,19,9.89292308688164
181,24,20,3.14666718244553
182,24,21,13.8838341236115
183,24,22,11.7831813097
184,24,23,354.40018877387
185,25,0,10.2780570983887
186,25,1,1.72018826007843
187,25,2,1.49731528759003
188,25,3,3.17933961749077
189,25,4,5.73910018801689
190,25,5,1.24808141589165
191,25,6,3.71597719192505
192,25,7,0.817169606685638
193,25,9,0.77000480890274
194,25,10,0.815288960933685
195,25,12,3.6339223086834
196,25,14,3.422518491745
197,25,16,4.12206155061722
198,25,17,1.55039942264557
199,25,18,1.86633944511414
200,25,19,6.87399142980576
201,25,21,39.1942153573036
202,25,22,869.46867749095
203,25,23,134.628974288702
204,25,24,26.0783831775188
205,26,0,2.99647569656372
206,26,17,0.645605623722076
207,26,19,3.99665534496307
208,26,20,0.64205414056778
209,26,21,14.1614730656147
210,26,22,222.092752456665
211,26,23,676.66718634963
212,26,24,280.643736958504
213,26,25,55.3403822779655
214,27,0,1.59535557031631
215,27,4,0.747569143772125
216,27,14,515.306120336056
217,27,15,133.537034451962
218,27,16,92.0455228090286
219,27,17,6.81669792532921
220,27,18,73.3728356361389
221,27,19,48.8356764316559
222,27,20,2.87140333652496
223,27,22,7.38388976454735
224,27,23,43.1708014905453
225,27,24,252.286750167608
226,27,25,4.80305325984955
227,27,26,115.664545178413
228,28,0,3.5785556435585
229,28,3,0.955881357192993
230,28,6,0.489710241556168
231,28,7,0.42144387960434
232,28,9,1.42897939682007
233,28,12,2.37598901987076
234,28,14,339.068591833115
235,28,15,584.814182341099
236,28,16,1248.73643285036
237,28,17,31.6660631895065
238,28,18,486.415630429983
239,28,19,27.3640851974487
240,28,20,18.2867254018784
241,28,21,0.342666327953339
242,28,22,4.07278889417648
243,28,23,3.01084852218628
244,28,24,46.5253069996834
245,28,25,7.08997702598572
246,28,27,988.225361824036
247,29,0,1.48507034778595
248,29,1,613.442687034607
249,29,2,30.1084731221199
250,29,3,74.8124986588955
251,29,4,127.686929881573
252,29,5,243.101262688637
253,29,6,115.437942951918
254,29,7,190.632795512676
255,29,8,18.0538755655289
256,29,9,1.94324469566345
257,29,10,24.552568167448
258,29,12,10.5511216819286
259,29,14,4.07217931747437
260,29,15,4.70886391401291
261,29,16,2.98239105939865
262,29,17,4.01687133312225
263,29,18,0.797615945339203
264,29,19,0.421225070953369
265,29,22,0.8787482380867
266,29,24,1.03236937522888
267,29,25,1.11033856868744
268,29,27,0.603143453598022
269,29,28,4.56401181221008
270,30,1,756.244183897972
271,30,2,743.878848552704
272,30,3,28.9965804815292
273,30,4,731.62341812253
274,30,5,814.743416070938
275,30,6,91.7269592583179
276,30,7,13.7233819365501
277,30,8,1.27345597743988
278,30,10,1.07196402549744
279,30,12,1.59061443805695
280,30,15,1.15925359725952
281,30,21,0.363288670778275
282,30,29,1204.89230263233
283,31,0,0.386829942464828
284,31,1,32.8801869452
285,31,2,7.41839051246643
286,31,3,8.34750786423683
287,31,4,166.600948870182
288,31,5,701.656757712364
289,31,6,215.466490507126
290,31,7,5.29322981834412
291,31,10,2.85390222072601
292,31,12,3.18143853545189
293,31,15,1.15641534328461
294,31,23,1.24723100662231
295,31,25,0.249152898788452
296,31,29,178.776240006089
297,31,30,429.285031795502
298,32,0,16.5006591081619
299,32,1,3.06600350141525
300,32,2,1.84782302379608
301,32,3,9.72102198004723
302,32,4,33.0283143520355
303,32,5,6.0095517039299
304,32,6,379.976431727409
305,32,7,3.98533654212952
306,32,8,0.26503649353981
307,32,10,15.1579631268978
308,32,11,5.3721022605896
309,32,12,338.122351765633
310,32,14,2.1720027923584
311,32,18,3.33265143632889
312,32,19,2.25886201858521
313,32,20,1.76838564872742
314,32,21,2.39062070846558
315,32,22,18.9467945992947
316,32,25,5.43435943126678
317,32,29,6.95742604136467
318,32,30,0.894422233104706
319,33,0,36.3180367052555
320,33,2,1.73326790332794
321,33,3,13.3425596356392
322,33,4,11.361135751009
323,33,5,4.62922063469887
324,33,6,72.5495581030846
325,33,7,5.07941895723343
326,33,8,1.72830092906952
327,33,9,0.233188077807426
328,33,10,12.1098098754883
329,33,12,131.299496948719
330,33,13,0.276556611061096
331,33,14,3.20127463340759
332,33,16,0.559194684028625
333,33,17,0.472325652837753
334,33,18,31.0229882001877
335,33,19,16.5453932285309
336,33,20,1.66584706306458
337,33,21,1.96984785795212
338,33,22,29.7289897799492
339,33,23,7.6162037551403
340,33,25,27.9975602030754
341,33,27,1.01615035533905
342,33,29,6.08183440566063
343,33,32,609.494013994932
344,34,0,12.4407372176647
345,34,2,0.736689984798431
346,34,3,0.227567330002785
347,34,4,1.74294777214527
348,34,5,1.64469087123871
349,34,6,5.14978177845478
350,34,7,3.51139450073242
351,34,10,1.65503224730492
352,34,11,0.840032935142517
353,34,12,3.07439231872559
354,34,14,25.4036853611469
355,34,15,3.84968769550323
356,34,16,8.57128015160561
357,34,17,11.175066113472
358,34,18,1.79328373074532
359,34,19,5.06685495376587
360,34,20,4.96692603826523
361,34,21,4.06443575024605
362,34,22,14.9844363927841
363,34,23,10.3205220401287
364,34,24,1.05199754238129
365,34,25,14.0369284152985
366,34,27,0.949892640113831
367,34,28,14.2446901202202
368,34,29,3.38040170073509
369,34,31,1.90234908461571
370,34,32,128.226160794497
371,34,33,442.440825164318
372,35,0,3.41947835683823
373,35,1,0.658005177974701
374,35,6,0.432475835084915
375,35,7,0.365890949964523
376,35,14,531.772578924894
377,35,15,82.1783395111561
378,35,16,31.5740671157837
379,35,17,81.8563246130943
380,35,18,12.7623735666275
381,35,19,77.9162815213203
382,35,20,37.0889081954956
383,35,22,1.19897496700287
384,35,23,13.2476389110088
385,35,24,129.556897819042
386,35,25,6.2420380115509
387,35,26,19.6427965760231
388,35,27,837.343255668879
389,35,28,132.761125385761
390,35,29,0.335106998682022
391,35,34,11.1263420581818
392,36,0,1.95773619413376
393,36,6,1.95165431499481
394,36,7,1.08648580312729
395,36,8,0.270068556070328
396,36,10,0.656143546104431
397,36,12,0.727919042110443
398,36,14,650.931444764137
399,36,15,111.680291593075
400,36,16,14.8220000267029
401,36,17,36.9801658391953
402,36,18,2.81783723831177
403,36,19,4.00923603773117
404,36,20,1.74611097574234
405,36,21,0.826556622982025
406,36,22,0.858643621206284
407,36,23,2.90408259630203
408,36,24,1.18468403816223
409,36,25,1.78418660163879
410,36,27,9.36820209026337
411,36,28,17.4320809841156
412,36,29,4.22585812211037
413,36,31,1.59485733509064
414,36,32,2.03168034553528
415,36,33,1.13543283939362
416,36,34,63.0905488729477
417,36,35,147.990009009838
418,37,0,8.08649283647537
419,37,4,0.383971005678177
420,37,6,1.68984818458557
421,37,7,1.22500133514404
422,37,14,90.4551384449005
423,37,15,23.1238092780113
424,37,16,87.58229637146
425,37,17,142.957596361637
426,37,18,21.9976496696472
427,37,19,72.8185768723488
428,37,20,23.6347447633743
429,37,21,0.387669593095779
430,37,22,3.89797434210777
431,37,23,8.38177883625031
432,37,24,2.73214879631996
433,37,25,7.20514497160912
434,37,26,0.496186405420303
435,37,27,4.4304792881012
436,37,28,28.1754198670387
437,37,29,3.02115201950073
438,37,33,3.41077017784119
439,37,34,49.3871508836746
440,37,35,35.0476863086224
441,37,36,159.167997837067
442,38,0,10.3234634101391
443,38,1,0.303880095481873
444,38,6,2.29480570554733
445,38,7,1.9811537861824
446,38,10,0.744026690721512
447,38,12,0.60374216735363
448,38,13,7.33076333999634
449,38,14,7.17573913931847
450,38,15,6.66480535268784
451,38,16,93.3090910613537
452,38,17,93.1759303808212
453,38,18,184.960035443306
454,38,19,655.706876784563
455,38,20,65.0498637855053
456,38,21,2.74044816195965
457,38,22,20.3479681313038
458,38,23,15.6709381341934
459,38,24,1.26104390621185
460,38,25,20.8288985490799
461,38,27,7.90382379293442
462,38,28,11.2673903405666
463,38,29,1.49277850985527
464,38,32,4.69306832551956
465,38,33,63.4476815164089
466,38,34,69.0270611047745
467,38,35,8.15668746829033
468,38,36,18.5705866515636
469,38,37,139.797090694308
470,39,0,2.66650915145874
471,39,1,1.17291939258575
472,39,6,0.444779217243195
473,39,12,1.8815438747406
474,39,14,10.5203879475594
475,39,15,24.0224601924419
476,39,16,334.60343170166
477,39,17,2.25841319561005
478,39,18,1246.43453159928
479,39,19,43.5643796026707
480,39,20,10.6339758634567
481,39,22,0.871788680553436
482,39,24,13.2081525325775
483,39,25,2.16707035899162
484,39,27,6.22954905033112
485,39,28,620.727819561958
486,39,29,1.38763943314552
487,39,33,1.80580085515976
488,39,34,2.40349119901657
489,39,35,2.89886254072189
490,39,36,4.98200821876526
491,39,37,12.6226056516171
492,39,38,30.7992056310177
493,40,0,16.3604860901833
494,40,2,0.882237911224365
495,40,3,1.02328681945801
496,40,4,0.936101257801056
497,40,6,1.06381288170815
498,40,10,0.359197378158569
499,40,12,1.14028108119965
500,40,14,17.2413656413555
501,40,15,4.07466578483582
502,40,16,3.86667957901955
503,40,17,44.5419427752495
504,40,18,9.63268452882767
505,40,19,32.6523779034615
506,40,20,13.0041974186897
507,40,21,40.8415788412094
508,40,22,181.078516870737
509,40,23,301.006807565689
510,40,24,162.46254041791
511,40,25,111.087413191795
512,40,26,632.901541531086
513,40,27,210.696794778109
514,40,28,5.49918431043625
515,40,32,0.455978780984879
516,40,33,8.78511926531792
517,40,34,11.5189323425293
518,40,35,149.605424404144
519,40,36,7.71375694870949
520,40,37,41.0349213480949
521,40,38,48.5023131072521
522,40,39,3.46201139688492
523,41,0,62.8087169826031
524,41,1,14.7722338140011
525,41,2,3.57789042592049
526,41,3,45.7906232476234
527,41,4,28.7132086455822
528,41,5,7.43367719650269
529,41,6,34.8970740139484
530,41,7,11.3668736815453
531,41,8,13.1970597803593
532,41,9,1.94301682710648
533,41,10,37.8303337842226
534,41,11,0.435475021600723
535,41,12,23.2807588279247
536,41,13,0.484901994466782
537,41,14,11.7462357878685
538,41,15,20.3160598576069
539,41,16,31.1782783865929
540,41,17,15.6853185594082
541,41,18,18.0661491453648
542,41,19,21.2176108360291
543,41,20,3.9785064458847
544,41,21,208.51581171155
545,41,22,153.983427375555
546,41,23,619.454621404409
547,41,24,260.829975098372
548,41,25,84.8729131817818
549,41,26,125.923467248678
550,41,27,89.0276241600513
551,41,28,20.1799867749214
552,41,29,0.97522959113121
553,41,30,0.623827069997787
554,41,31,1.36608189344406
555,41,32,8.88953647017479
556,41,33,12.8265649974346
557,41,34,13.9146934747696
558,41,35,34.4516816437244
559,41,36,7.37587597966194
560,41,37,6.24868333339691
561,41,38,15.9478875100613
562,41,39,3.72792708873749
563,41,40,118.598088830709
564,42,0,7.7905288040638
565,42,4,1.64512825012207
566,42,6,0.491778582334518
567,42,13,1.1201856136322
568,42,14,8.16215145587921
569,42,15,1.91033941507339
570,42,16,7.8272505402565
571,42,17,2.97163957357407
572,42,18,10.6173275113106
573,42,19,2.20986032485962
574,42,22,11.1472638249397
575,42,23,89.9214359223843
576,42,24,584.523203909397
577,42,25,9.01243430376053
578,42,26,16.7599503993988
579,42,27,34.2844999432564
580,42,28,5.57223761081696
581,42,34,1.77006447315216
582,42,35,11.6905398070812
583,42,36,1.73488926887512
584,42,39,1.60068726539612
585,42,40,16.4231092333794
586,42,41,797.604405641556
587,43,0,6.27361011505127
588,43,1,0.593732595443726
589,43,3,0.866117775440216
590,43,6,0.481823951005936
591,43,7,0.340056449174881
592,43,13,4.30670130252838
593,43,14,23.2266876399517
594,43,15,10.4414149820805
595,43,16,6.79449021816254
596,43,18,45.1638235747814
597,43,19,7.2636239528656
598,43,21,1.21158790588379
599,43,22,37.9164769947529
600,43,23,12.4658217430115
601,43,24,163.026251703501
602,43,25,67.3979734480381
603,43,26,6.77261757850647
604,43,27,133.590289503336
605,43,28,137.66286867857
606,43,32,0.290339112281799
607,43,33,3.93953034281731
608,43,34,4.14951902627945
609,43,35,95.8992599844933
610,43,36,3.53522896766663
611,43,37,8.91911581158638
612,43,38,10.1909930408001
613,43,39,51.456325262785
614,43,40,48.9922651946545
615,43,41,154.743250370026
616,43,42,240.598487049341
617,44,0,4.79277038574219
618,44,10,0.776978254318237
619,44,13,328.10174331069
620,44,18,8.32917949557304
621,44,19,1093.65054556727
622,44,22,0.592483520507812
623,44,24,0.530169010162354
624,44,27,0.620213627815247
625,44,33,1.20704632997513
626,44,34,1.56137728691101
627,44,38,89.6176353394985
628,44,39,0.321993112564087
629,44,41,3.58620941638947
630,44,42,1.40791010856628
631,44,43,10.3289596438408
632,45,0,78.1652078926563
633,45,7,0.288653880357742
634,45,9,1.88612544536591
635,45,10,0.931579172611237
636,45,13,379.23325163126
637,45,18,2.10585987567902
638,45,19,21.0453525185585
639,45,23,0.687522113323212
640,45,24,1.35856828093529
641,45,28,0.406357735395432
642,45,33,0.269039422273636
643,45,38,2.06808920204639
644,45,39,1.08648705482483
645,45,41,6.29205882549286
646,45,42,1.03215253353119
647,45,43,28.2432057857513
648,45,44,85.5336978137493
649,46,0,6.68845355510712
650,46,3,0.697495996952057
651,46,10,4.8054176568985
652,46,12,2.0113154053688
653,46,13,340.126805901527
654,46,14,5.34627836942673
655,46,15,11.981480717659
656,46,16,10.9676213860512
657,46,17,3.04070660471916
658,46,18,958.177061706781
659,46,19,402.910696804523
660,46,20,0.969293534755707
661,46,21,1.55859822034836
662,46,22,7.83190977573395
663,46,23,1.11680424213409
664,46,24,97.8321641683578
665,46,25,15.9519940018654
666,46,26,1.33430600166321
667,46,27,61.0111331939697
668,46,28,74.1194088459015
669,46,29,1.21148991584778
670,46,33,14.82629352808
671,46,34,1.47684013843536
672,46,35,13.8380000591278
673,46,36,0.553204834461212
674,46,37,2.15158975124359
675,46,38,115.047467470169
676,46,39,135.559639960527
677,46,40,8.63373595476151
678,46,41,18.4814521968365
679,46,42,15.8946873545647
680,46,43,177.824174165726
681,46,44,347.174698472023
682,46,45,194.19776520133
683,47,0,8.32197573781013
684,47,1,0.271795988082886
685,47,3,0.774216294288635
686,47,4,1.61521700024605
687,47,6,2.77116805315018
688,47,10,1.27434945106506
689,47,14,20.1369873285294
690,47,15,13.1662667691708
691,47,16,14.7454651892185
692,47,17,53.0633057653904
693,47,18,9.60015487670898
694,47,19,23.2042569816113
695,47,20,12.2902302742004
696,47,21,4.87705430388451
697,47,22,76.447874546051
698,47,23,35.2479949593544
699,47,24,58.6564972996712
700,47,25,157.974510073662
701,47,26,14.7990285158157
